Customer_ID,recency,frequency,monetary,Recency_segment,Frequency_segment,Monetary_Segment
NG-184301,3940,13,10114,Dormant,Frequent,"High Spender"
RB-193601,3913,26,10106,Dormant,Frequent,"High Spender"
HM-148602,3894,31,9940,Dormant,Frequent,"High Spender"
DB-130601,3909,14,9904,Dormant,Frequent,"High Spender"
EB-138402,3895,17,9895,Dormant,Frequent,"High Spender"
JE-157151,3902,27,9856,Dormant,Frequent,"High Spender"
Dp-132401,4144,13,9845,Dormant,Frequent,"High Spender"
JL-158354,3914,34,9799,Dormant,Frequent,"High Spender"
MP-181751,3915,19,9796,Dormant,Frequent,"High Spender"
AS-102251,3964,20,9773,Dormant,Frequent,"High Spender"
DL-133301,3905,24,9729,Dormant,Frequent,"High Spender"
TA-213851,3911,11,9717,Dormant,Frequent,"High Spender"
JB-160002,3989,23,9689,Dormant,Frequent,"High Spender"
MD-173503,3919,28,9657,Dormant,Frequent,"High Spender"
NF-183852,3900,24,9656,Dormant,Frequent,"High Spender"
KH-163301,3909,20,9625,Dormant,Frequent,"High Spender"
MF-182502,3932,23,9618,Dormant,Frequent,"High Spender"
MD-178601,4048,14,9590,Dormant,Frequent,"High Spender"
KD-164951,3939,20,9576,Dormant,Frequent,"High Spender"
NZ-185651,4125,15,9544,Dormant,Frequent,"High Spender"
CC-123701,4037,26,9524,Dormant,Frequent,"High Spender"
MG-181452,3930,8,9501,Dormant,Occasional,"High Spender"
MV-181901,3992,15,9480,Dormant,Frequent,"High Spender"
RB-197953,3986,33,9463,Dormant,Frequent,"High Spender"
SE-201102,3927,22,9380,Dormant,Frequent,"High Spender"
GT-146354,3949,6,9351,Dormant,Occasional,"High Spender"
MO-178001,3899,14,9347,Dormant,Frequent,"High Spender"
JG-151602,3922,17,9340,Dormant,Frequent,"High Spender"
HW-149354,4010,20,9299,Dormant,Frequent,"High Spender"
CJ-118751,3946,23,9269,Dormant,Frequent,"High Spender"
CA-122652,3944,12,9234,Dormant,Frequent,"High Spender"
SP-206201,3898,27,9224,Dormant,Frequent,"High Spender"
SC-203051,3979,17,9218,Dormant,Frequent,"High Spender"
PO-191801,4103,18,9211,Dormant,Frequent,"High Spender"
AD-101801,3985,19,9209,Dormant,Frequent,"High Spender"
AB-101502,3996,13,9139,Dormant,Frequent,"High Spender"
TB-214004,4095,17,9134,Dormant,Frequent,"High Spender"
JC-153401,3938,26,9111,Dormant,Frequent,"High Spender"
DO-134351,4054,13,9101,Dormant,Frequent,"High Spender"
PF-191204,4728,19,9065,Dormant,Frequent,"High Spender"
AP-109151,3969,21,9049,Dormant,Frequent,"High Spender"
AP-107201,3937,23,9040,Dormant,Frequent,"High Spender"
TB-214001,3918,26,9033,Dormant,Frequent,"High Spender"
MG-176801,3929,33,9028,Dormant,Frequent,"High Spender"
DV-130453,4014,20,9018,Dormant,Frequent,"High Spender"
MY-182951,3893,24,8991,Dormant,Frequent,"High Spender"
BW-10651,3915,9,8957,Dormant,Occasional,"High Spender"
CM-123854,3930,10,8953,Dormant,Frequent,"High Spender"
AM-103602,3914,21,8940,Dormant,Frequent,"High Spender"
SB-201701,3926,20,8934,Dormant,Frequent,"High Spender"
SC-206801,3972,22,8915,Dormant,Frequent,"High Spender"
CM-121601,3990,16,8870,Dormant,Frequent,"High Spender"
BT-116801,3911,19,8849,Dormant,Frequent,"High Spender"
JD-161504,3934,17,8829,Dormant,Frequent,"High Spender"
TS-216101,4101,19,8829,Dormant,Frequent,"High Spender"
JM-152651,3946,31,8818,Dormant,Frequent,"High Spender"
TC-212952,3955,24,8818,Dormant,Frequent,"High Spender"
HL-150401,3923,16,8802,Dormant,Frequent,"High Spender"
PP-189551,3947,17,8800,Dormant,Frequent,"High Spender"
NM-184451,3978,21,8764,Dormant,Frequent,"High Spender"
JF-155652,3998,23,8700,Dormant,Frequent,"High Spender"
JE-157154,3939,22,8696,Dormant,Frequent,"High Spender"
LB-167353,3936,29,8694,Dormant,Frequent,"High Spender"
LA-167804,4047,26,8674,Dormant,Frequent,"High Spender"
RB-193302,3908,22,8650,Dormant,Frequent,"High Spender"
PK-190754,3902,25,8646,Dormant,Frequent,"High Spender"
CR-127301,4019,23,8626,Dormant,Frequent,"High Spender"
LB-167952,3932,13,8613,Dormant,Frequent,"High Spender"
JJ-157602,3895,30,8606,Dormant,Frequent,"High Spender"
TB-211901,4035,14,8577,Dormant,Frequent,"High Spender"
HJ-148751,3929,27,8541,Dormant,Frequent,"High Spender"
YC-218952,3936,29,8531,Dormant,Frequent,"High Spender"
PJ-188352,4007,5,8509,Dormant,Occasional,"High Spender"
LB-167951,4116,15,8487,Dormant,Frequent,"High Spender"
GZ-144702,3900,14,8432,Dormant,Frequent,"High Spender"
LR-169152,4025,16,8429,Dormant,Frequent,"High Spender"
JB-154002,3936,24,8395,Dormant,Frequent,"High Spender"
CS-124601,4188,15,8390,Dormant,Frequent,"High Spender"
JH-161802,4154,27,8370,Dormant,Frequent,"High Spender"
ON-187152,3940,21,8368,Dormant,Frequent,"High Spender"
SV-208151,3961,12,8359,Dormant,Frequent,"High Spender"
DR-129404,3943,13,8352,Dormant,Frequent,"High Spender"
AF-108851,3969,22,8347,Dormant,Frequent,"High Spender"
JC-153402,3927,26,8333,Dormant,Frequent,"High Spender"
NF-183854,3972,14,8321,Dormant,Frequent,"High Spender"
PG-188201,3928,24,8315,Dormant,Frequent,"High Spender"
JL-152351,3940,22,8290,Dormant,Frequent,"High Spender"
KD-162704,4377,16,8282,Dormant,Frequent,"High Spender"
TC-211451,3904,27,8279,Dormant,Frequent,"High Spender"
KB-165851,4145,20,8274,Dormant,Frequent,"High Spender"
NC-185354,3899,15,8240,Dormant,Frequent,"High Spender"
HM-148604,3895,20,8236,Dormant,Frequent,"High Spender"
TC-211453,3949,24,8194,Dormant,Frequent,"High Spender"
KN-164501,3930,22,8187,Dormant,Frequent,"High Spender"
KD-164954,4005,28,8184,Dormant,Frequent,"High Spender"
PS-190451,3982,20,8178,Dormant,Frequent,"High Spender"
SV-209351,3909,23,8174,Dormant,Frequent,"High Spender"
JM-152501,3928,20,8163,Dormant,Frequent,"High Spender"
JK-157301,3941,13,8134,Dormant,Frequent,"High Spender"
BS-113801,4007,16,8133,Dormant,Frequent,"High Spender"
GB-145301,3926,13,8129,Dormant,Frequent,"High Spender"
Dl-136001,3898,19,8124,Dormant,Frequent,"High Spender"
JW-160752,4009,17,8113,Dormant,Frequent,"High Spender"
LD-168552,3997,19,8109,Dormant,Frequent,"High Spender"
RD-195852,3918,25,8108,Dormant,Frequent,"High Spender"
DB-134051,3921,16,8105,Dormant,Frequent,"High Spender"
LA-167801,4020,15,8091,Dormant,Frequent,"High Spender"
SC-202301,3922,23,8083,Dormant,Frequent,"High Spender"
SB-202904,3940,17,8057,Dormant,Frequent,"High Spender"
ZC-219104,3947,31,8028,Dormant,Frequent,"High Spender"
GW-146051,3997,16,8000,Dormant,Frequent,"High Spender"
MG-178901,3919,20,7964,Dormant,Frequent,"High Spender"
RA-192852,3939,16,7958,Dormant,Frequent,"High Spender"
JH-159854,3922,14,7955,Dormant,Frequent,"High Spender"
ER-138552,3962,7,7927,Dormant,Occasional,"High Spender"
JF-152952,3949,16,7907,Dormant,Frequent,"High Spender"
NP-187004,4031,13,7904,Dormant,Frequent,"High Spender"
JL-151302,3914,18,7903,Dormant,Frequent,"High Spender"
AH-106904,4303,23,7889,Dormant,Frequent,"High Spender"
DB-130602,4334,15,7873,Dormant,Frequent,"High Spender"
KD-162701,3929,17,7873,Dormant,Frequent,"High Spender"
MM-172601,3971,22,7869,Dormant,Frequent,"High Spender"
TZ-214453,3901,34,7853,Dormant,Frequent,"High Spender"
LT-71101,3948,16,7853,Dormant,Frequent,"High Spender"
JG-158052,3893,35,7843,Dormant,Frequent,"High Spender"
JW-152201,3905,19,7827,Dormant,Frequent,"High Spender"
SS-204102,4263,12,7809,Dormant,Frequent,"High Spender"
AF-108702,3998,9,7808,Dormant,Occasional,"High Spender"
RA-199153,3920,19,7801,Dormant,Frequent,"High Spender"
PO-91951,3926,15,7799,Dormant,Frequent,"High Spender"
CM-121151,4012,15,7791,Dormant,Frequent,"High Spender"
RE-194051,3921,22,7787,Dormant,Frequent,"High Spender"
BH-117103,3944,29,7779,Dormant,Frequent,"High Spender"
AB-100604,3947,18,7757,Dormant,Frequent,"High Spender"
JE-156104,3941,20,7757,Dormant,Frequent,"High Spender"
MS-177702,3942,17,7757,Dormant,Frequent,"High Spender"
EM-142001,4012,13,7725,Dormant,Frequent,"High Spender"
JW-152204,3935,14,7722,Dormant,Frequent,"High Spender"
AR-108252,3972,25,7720,Dormant,Frequent,"High Spender"
RK-193003,3978,30,7683,Dormant,Frequent,"High Spender"
MG-182051,3919,19,7669,Dormant,Frequent,"High Spender"
LC-168854,3909,23,7662,Dormant,Frequent,"High Spender"
KW-164352,4161,19,7658,Dormant,Frequent,"High Spender"
CR-127303,4000,26,7637,Dormant,Frequent,"High Spender"
NC-183401,4107,22,7627,Dormant,Frequent,"High Spender"
JM-158654,4002,13,7624,Dormant,Frequent,"High Spender"
BE-114102,3977,16,7623,Dormant,Frequent,"High Spender"
GH-144251,3993,22,7621,Dormant,Frequent,"High Spender"
GG-146502,3926,25,7619,Dormant,Frequent,"High Spender"
AC-104501,3901,8,7610,Dormant,Occasional,"High Spender"
JD-158954,4287,32,7609,Dormant,Frequent,"High Spender"
BP-111552,3942,19,7590,Dormant,Frequent,"High Spender"
CD-119201,3936,13,7581,Dormant,Frequent,"High Spender"
MC-176351,3928,19,7576,Dormant,Frequent,"High Spender"
SH-99752,3999,14,7537,Dormant,Frequent,"High Spender"
TP-211301,3895,28,7533,Dormant,Frequent,"High Spender"
MB-173051,4083,5,7524,Dormant,Occasional,"High Spender"
SZ-200351,3906,23,7512,Dormant,Frequent,"High Spender"
EH-141252,4017,16,7494,Dormant,Frequent,"High Spender"
PO-188504,3897,22,7475,Dormant,Frequent,"High Spender"
MC-175751,3955,20,7467,Dormant,Frequent,"High Spender"
AG-104952,4021,26,7461,Dormant,Frequent,"High Spender"
KT-164653,3961,28,7450,Dormant,Frequent,"High Spender"
ZC-219101,3929,15,7448,Dormant,Frequent,"High Spender"
AS-106301,4273,11,7447,Dormant,Frequent,"High Spender"
MS-173654,4166,24,7445,Dormant,Frequent,"High Spender"
BG-110352,3922,9,7445,Dormant,Occasional,"High Spender"
JH-159101,3935,26,7444,Dormant,Frequent,"High Spender"
DP-131652,3949,21,7444,Dormant,Frequent,"High Spender"
ST-205303,4026,17,7436,Dormant,Frequent,"High Spender"
MM-179202,3984,16,7421,Dormant,Frequent,"High Spender"
AH-102102,3995,26,7417,Dormant,Frequent,"High Spender"
CD-119202,3895,22,7413,Dormant,Frequent,"High Spender"
CW-119052,3901,17,7410,Dormant,Frequent,"High Spender"
RB-194651,3907,20,7408,Dormant,Frequent,"High Spender"
GM-144401,4130,14,7407,Dormant,Frequent,"High Spender"
RW-195404,4013,23,7400,Dormant,Frequent,"High Spender"
JJ-157601,3942,21,7400,Dormant,Frequent,"High Spender"
CB-125352,3937,24,7379,Dormant,Frequent,"High Spender"
ML-182652,4081,26,7379,Dormant,Frequent,"High Spender"
GH-144852,3944,19,7376,Dormant,Frequent,"High Spender"
KN-163902,4042,9,7376,Dormant,Occasional,"High Spender"
FO-143052,3920,24,7365,Dormant,Frequent,"High Spender"
KC-166752,3992,19,7362,Dormant,Frequent,"High Spender"
NF-183851,3933,23,7362,Dormant,Frequent,"High Spender"
RF-198402,3912,26,7357,Dormant,Frequent,"High Spender"
JW-160751,3894,21,7352,Dormant,Frequent,"High Spender"
DM-129551,4053,17,7348,Dormant,Frequent,"High Spender"
JS-156851,3933,16,7329,Dormant,Frequent,"High Spender"
DW-131951,3899,25,7327,Dormant,Frequent,"High Spender"
IM-150702,3933,26,7327,Dormant,Frequent,"High Spender"
DC-132852,4012,12,7308,Dormant,Frequent,"High Spender"
DM-129553,4158,19,7304,Dormant,Frequent,"High Spender"
RR-193151,3955,23,7303,Dormant,Frequent,"High Spender"
MW-182201,4041,8,7302,Dormant,Occasional,"High Spender"
SC-200952,3990,17,7301,Dormant,Frequent,"High Spender"
BM-116504,3926,29,7293,Dormant,Frequent,"High Spender"
AH-100751,3895,17,7291,Dormant,Frequent,"High Spender"
PO-188502,3998,29,7288,Dormant,Frequent,"High Spender"
PP-189554,3990,34,7254,Dormant,Frequent,"High Spender"
DC-132853,3911,27,7248,Dormant,Frequent,"High Spender"
NW-184004,4065,22,7233,Dormant,Frequent,"High Spender"
EM-138101,4165,13,7229,Dormant,Frequent,"High Spender"
LT-167651,3899,15,7225,Dormant,Frequent,"High Spender"
PS-190453,3913,21,7221,Dormant,Frequent,"High Spender"
MS-179802,4035,17,7202,Dormant,Frequent,"High Spender"
Dp-132404,3977,29,7199,Dormant,Frequent,"High Spender"
TS-213403,3935,23,7195,Dormant,Frequent,"High Spender"
AB-106001,4133,15,7148,Dormant,Frequent,"High Spender"
JL-158351,3954,13,7146,Dormant,Frequent,"High Spender"
KA-165252,3909,16,7125,Dormant,Frequent,"High Spender"
BF-111701,3950,14,7092,Dormant,Frequent,"High Spender"
BH-117102,3944,10,7089,Dormant,Frequent,"High Spender"
AO-108101,3929,22,7085,Dormant,Frequent,"High Spender"
FA-142302,4039,20,7077,Dormant,Frequent,"High Spender"
CM-123851,3950,22,7050,Dormant,Frequent,"High Spender"
AR-103452,3922,16,7043,Dormant,Frequent,"High Spender"
AH-102103,3900,24,7031,Dormant,Frequent,"High Spender"
CK-125951,4021,19,7018,Dormant,Frequent,"High Spender"
CC-124751,4088,18,7015,Dormant,Frequent,"High Spender"
PS-190452,4031,18,7012,Dormant,Frequent,"High Spender"
LS-172003,3968,17,6997,Dormant,Frequent,"High Spender"
FH-143654,3898,13,6989,Dormant,Frequent,"High Spender"
NL-183101,3979,15,6982,Dormant,Frequent,"High Spender"
RH-195104,4360,12,6980,Dormant,Frequent,"High Spender"
ME-173202,3947,26,6977,Dormant,Frequent,"High Spender"
SS-201401,3964,15,6973,Dormant,Frequent,"High Spender"
MC-178451,3901,21,6969,Dormant,Frequent,"High Spender"
MG-176951,3893,18,6960,Dormant,Frequent,"High Spender"
MG-176952,3927,24,6958,Dormant,Frequent,"High Spender"
BC-111252,3934,37,6941,Dormant,Frequent,"High Spender"
GD-145901,3905,17,6939,Dormant,Frequent,"High Spender"
BM-111401,4035,19,6930,Dormant,Frequent,"High Spender"
BT-115301,3950,8,6924,Dormant,Occasional,"High Spender"
RP-193901,3908,18,6918,Dormant,Frequent,"High Spender"
CL-118903,3937,19,6904,Dormant,Frequent,"High Spender"
BK-112601,3921,12,6899,Dormant,Frequent,"High Spender"
DD-135702,4037,25,6899,Dormant,Frequent,"High Spender"
DM-133451,3983,13,6883,Dormant,Frequent,"High Spender"
EG-139002,4034,10,6883,Dormant,Frequent,"High Spender"
MD-78601,3996,12,6855,Dormant,Frequent,"High Spender"
RF-197351,3894,19,6855,Dormant,Frequent,"High Spender"
PS-190454,4129,13,6842,Dormant,Frequent,"High Spender"
EP-139151,4115,20,6827,Dormant,Frequent,"High Spender"
TT-214602,4021,24,6816,Dormant,Frequent,"High Spender"
NS-185053,3954,24,6814,Dormant,Frequent,"High Spender"
Co-126401,3897,27,6813,Dormant,Frequent,"High Spender"
VS-218201,4053,12,6801,Dormant,Frequent,"High Spender"
SN-205601,3976,10,6795,Dormant,Frequent,"High Spender"
VW-217751,3927,23,6792,Dormant,Frequent,"High Spender"
RB-195702,4081,24,6788,Dormant,Frequent,"High Spender"
KM-163752,4003,19,6772,Dormant,Frequent,"High Spender"
BB-115454,3921,20,6767,Dormant,Frequent,"High Spender"
ML-177551,4055,23,6767,Dormant,Frequent,"High Spender"
JE-157454,3944,23,6762,Dormant,Frequent,"High Spender"
GH-144102,3913,25,6755,Dormant,Frequent,"High Spender"
ML-173952,4468,7,6747,Dormant,Occasional,"High Spender"
CL-118901,4020,14,6746,Dormant,Frequent,"High Spender"
DK-128353,3950,21,6745,Dormant,Frequent,"High Spender"
YS-218804,3902,12,6722,Dormant,Frequent,"High Spender"
MT-180702,4020,15,6720,Dormant,Frequent,"High Spender"
BG-110351,4009,23,6713,Dormant,Frequent,"High Spender"
AS-100452,3916,25,6708,Dormant,Frequent,"High Spender"
KH-165101,4037,21,6705,Dormant,Frequent,"High Spender"
HA-149051,3975,20,6695,Dormant,Frequent,"High Spender"
KC-165401,3935,11,6689,Dormant,Frequent,"High Spender"
KD-166152,4018,12,6685,Dormant,Frequent,"High Spender"
SW-207553,4038,30,6683,Dormant,Frequent,"High Spender"
LA-167802,3906,21,6678,Dormant,Frequent,"High Spender"
MY-182952,3936,19,6649,Dormant,Frequent,"High Spender"
VP-217602,3982,10,6643,Dormant,Frequent,"High Spender"
KN-163901,4101,14,6633,Dormant,Frequent,"High Spender"
SC-203801,3956,28,6626,Dormant,Frequent,"High Spender"
SV-203651,3980,21,6624,Dormant,Frequent,"High Spender"
JW-152202,3907,21,6622,Dormant,Frequent,"High Spender"
AR-105404,3899,9,6609,Dormant,Occasional,"High Spender"
MG-178752,3944,17,6604,Dormant,Frequent,"High Spender"
BB-115452,3926,20,6600,Dormant,Frequent,"High Spender"
JM-158652,4084,32,6585,Dormant,Frequent,"High Spender"
LH-171552,4465,14,6577,Dormant,Frequent,"High Spender"
KC-165403,3946,21,6577,Dormant,Frequent,"High Spender"
CP-123401,4023,15,6559,Dormant,Frequent,"High Spender"
DB-132102,3900,14,6544,Dormant,Frequent,"High Spender"
BS-113653,3918,33,6543,Dormant,Frequent,"High Spender"
RP-192701,3900,20,6542,Dormant,Frequent,"High Spender"
DO-136451,4272,17,6540,Dormant,Frequent,"High Spender"
ED-138851,3972,17,6533,Dormant,Frequent,"High Spender"
PS-187602,4083,13,6533,Dormant,Frequent,"High Spender"
AR-105102,3955,18,6533,Dormant,Frequent,"High Spender"
DR-128804,3896,24,6527,Dormant,Frequent,"High Spender"
TH-212352,3901,15,6523,Dormant,Frequent,"High Spender"
EB-141102,3946,18,6522,Dormant,Frequent,"High Spender"
JE-157453,3960,19,6511,Dormant,Frequent,"High Spender"
HG-150251,3983,16,6510,Dormant,Frequent,"High Spender"
GK-146204,4005,14,6498,Dormant,Frequent,"High Spender"
JK-161201,4058,12,6498,Dormant,Frequent,"High Spender"
JA-159704,3985,24,6494,Dormant,Frequent,"High Spender"
CC-126102,3962,14,6492,Dormant,Frequent,"High Spender"
MM-180552,3908,17,6490,Dormant,Frequent,"High Spender"
JF-154152,3920,11,6489,Dormant,Frequent,"High Spender"
JM-156552,4051,13,6473,Dormant,Frequent,"High Spender"
JF-54151,3930,12,6470,Dormant,Frequent,"High Spender"
OT-187301,3926,21,6463,Dormant,Frequent,"High Spender"
NM-184454,4053,14,6461,Dormant,Frequent,"High Spender"
MS-175301,3963,13,6450,Dormant,Frequent,"High Spender"
DA-134503,3906,14,6447,Dormant,Frequent,"High Spender"
VD-216704,4474,16,6444,Dormant,Frequent,"High Spender"
TM-210102,3957,15,6443,Dormant,Frequent,"High Spender"
AB-101652,3906,22,6437,Dormant,Frequent,"High Spender"
CR-128203,3957,16,6434,Dormant,Frequent,"High Spender"
MP-179652,3947,33,6431,Dormant,Frequent,"High Spender"
SB-201852,4028,23,6429,Dormant,Frequent,"High Spender"
HG-148453,4002,16,6417,Dormant,Frequent,"High Spender"
NP-186702,4084,20,6412,Dormant,Frequent,"High Spender"
SB-201854,4081,12,6411,Dormant,Frequent,"High Spender"
NF-184752,3899,18,6407,Dormant,Frequent,"High Spender"
AS-102851,4031,18,6388,Dormant,Frequent,"High Spender"
JH-154303,3934,22,6387,Dormant,Frequent,"High Spender"
DK-128951,3947,10,6372,Dormant,Frequent,"High Spender"
TB-215201,3976,27,6371,Dormant,Frequent,"High Spender"
TH-211151,4116,23,6369,Dormant,Frequent,"High Spender"
TH-211002,3947,14,6368,Dormant,Frequent,"High Spender"
JG-151604,3894,18,6366,Dormant,Frequent,"High Spender"
KM-166601,3941,29,6362,Dormant,Frequent,"High Spender"
JR-162101,3958,13,6360,Dormant,Frequent,"High Spender"
JC-161052,3996,21,6355,Dormant,Frequent,"High Spender"
RW-195401,3935,18,6351,Dormant,Frequent,"High Spender"
SH-206352,3923,14,6349,Dormant,Frequent,"High Spender"
SB-201853,4017,17,6349,Dormant,Frequent,"High Spender"
DM-130154,3950,20,6344,Dormant,Frequent,"High Spender"
BE-113353,3972,30,6342,Dormant,Frequent,"High Spender"
ML-174101,3926,19,6342,Dormant,Frequent,"High Spender"
AT-104352,3905,5,6342,Dormant,Occasional,"High Spender"
CM-126554,3920,10,6340,Dormant,Frequent,"High Spender"
MJ-177404,3915,15,6321,Dormant,Frequent,"High Spender"
JB-160001,4077,16,6316,Dormant,Frequent,"High Spender"
BO-114252,4067,23,6314,Dormant,Frequent,"High Spender"
CH-120702,4034,26,6312,Dormant,Frequent,"High Spender"
DP-130002,3982,23,6306,Dormant,Frequent,"High Spender"
AS-102252,3905,15,6300,Dormant,Frequent,"High Spender"
GH-144252,3912,28,6292,Dormant,Frequent,"High Spender"
PS-189703,4052,18,6286,Dormant,Frequent,"High Spender"
AR-105101,4130,21,6269,Dormant,Frequent,"High Spender"
CG-125201,3921,12,6267,Dormant,Frequent,"High Spender"
BV-112451,4030,13,6258,Dormant,Frequent,"High Spender"
BH-117104,3916,24,6256,Dormant,Frequent,"High Spender"
RL-196154,4014,24,6236,Dormant,Frequent,"High Spender"
JC-153852,3947,12,6236,Dormant,Frequent,"High Spender"
EH-141851,4164,16,6225,Dormant,Frequent,"High Spender"
RD-199001,4167,12,6221,Dormant,Frequent,"High Spender"
MK-181601,3926,24,6220,Dormant,Frequent,"High Spender"
NK-184901,4108,18,6215,Dormant,Frequent,"High Spender"
CS-124602,3899,22,6210,Dormant,Frequent,"High Spender"
AH-105851,4080,17,6205,Dormant,Frequent,"High Spender"
SS-201403,3979,22,6190,Dormant,Frequent,"High Spender"
HH-150101,4041,18,6180,Dormant,Frequent,"High Spender"
TT-210701,3907,19,6180,Dormant,Frequent,"High Spender"
MF-182501,4103,28,6176,Dormant,Frequent,"High Spender"
JW-52201,4079,10,6173,Dormant,Frequent,"High Spender"
LH-167503,3905,29,6172,Dormant,Frequent,"High Spender"
TA-213852,3919,24,6160,Dormant,Frequent,"High Spender"
WB-218504,3913,37,6159,Dormant,Frequent,"High Spender"
QJ-192551,3979,7,6156,Dormant,Occasional,"High Spender"
SC-208001,4096,15,6147,Dormant,Frequent,"High Spender"
EH-139901,3937,16,6141,Dormant,Frequent,"High Spender"
VW-217754,3921,18,6135,Dormant,Frequent,"High Spender"
BF-111702,3951,22,6134,Dormant,Frequent,"High Spender"
SR-204252,3998,17,6126,Dormant,Frequent,"High Spender"
SD-204854,4093,21,6121,Dormant,Frequent,"High Spender"
AB-100152,4145,24,6116,Dormant,Frequent,"High Spender"
MB-180851,4005,7,6116,Dormant,Occasional,"High Spender"
AS-100903,4084,16,6112,Dormant,Frequent,"High Spender"
